Job Title,Company,Job Link,title,company,link,description,salary,location
Die Setter,PT Magna Finance Tbk,/id/job/79662184?type=standard&ref=search-standalone&origin=cardTitle#sol=5c44a03e821b66146415d047636aec6a71a1f717,N/A,N/A,https://id.jobstreet.com/id/job/79662184?type=standard&ref=search-standalone&origin=cardTitle#sol=5c44a03e821b66146415d047636aec6a71a1f717,,N/A,N/A
Advanced Process Engineer (automation design),PT Magna Finance Tbk,/id/job/79660531?type=standard&ref=search-standalone&origin=cardTitle#sol=6542b76f1c3cebad4d0a12d13fbffdd5e53f7e99,N/A,N/A,https://id.jobstreet.com/id/job/79660531?type=standard&ref=search-standalone&origin=cardTitle#sol=6542b76f1c3cebad4d0a12d13fbffdd5e53f7e99,,N/A,N/A
Stability Hub Lead,PT Bayer Indonesia,/id/job/73027255?type=standard&ref=search-standalone&origin=cardTitle#sol=b1ce5815e3a2519b31cd0f1ad7290c0cb16218c3,N/A,N/A,https://id.jobstreet.com/id/job/73027255?type=standard&ref=search-standalone&origin=cardTitle#sol=b1ce5815e3a2519b31cd0f1ad7290c0cb16218c3,,N/A,N/A
Legal,PT Mitra Bali Internasional,/id/job/76484415?type=standard&ref=search-standalone&origin=cardTitle#sol=72b69cc4b89dc874a2ad85d7b1868d852634af41,N/A,N/A,https://id.jobstreet.com/id/job/76484415?type=standard&ref=search-standalone&origin=cardTitle#sol=72b69cc4b89dc874a2ad85d7b1868d852634af41,,N/A,N/A
Finance Treasury Associate Manager (Logistic),byOrange,/id/job/79660756?type=standard&ref=search-standalone&origin=cardTitle#sol=09f830800080ffad651eb0cbfb6f3243bebc8826,N/A,N/A,https://id.jobstreet.com/id/job/79660756?type=standard&ref=search-standalone&origin=cardTitle#sol=09f830800080ffad651eb0cbfb6f3243bebc8826,,N/A,N/A
"Graphic Designer, UI/UX (full-time)",PT Stucel Media Kreatif,/id/job/76466857?type=standard&ref=search-standalone&origin=cardTitle#sol=ae22eee37257fa84309b745c5dc86e857ecb1f0b,N/A,N/A,https://id.jobstreet.com/id/job/76466857?type=standard&ref=search-standalone&origin=cardTitle#sol=ae22eee37257fa84309b745c5dc86e857ecb1f0b,,N/A,N/A
Site Reliability Engineer,PT Fliptech Lentera Inspirasi Pertiwi,/id/job/78761546?type=standard&ref=search-standalone&origin=cardTitle#sol=eadb833b2dce07251548b92fcfecf1d40ac5b173,N/A,N/A,https://id.jobstreet.com/id/job/78761546?type=standard&ref=search-standalone&origin=cardTitle#sol=eadb833b2dce07251548b92fcfecf1d40ac5b173,,N/A,N/A
Market Insight Officer (1 year fixed term contract),PT Bayer Indonesia,/id/job/78648765?type=standard&ref=search-standalone&origin=cardTitle#sol=3e18623d02ca21ecb403e6f865f535e83f094e4f,N/A,N/A,https://id.jobstreet.com/id/job/78648765?type=standard&ref=search-standalone&origin=cardTitle#sol=3e18623d02ca21ecb403e6f865f535e83f094e4f,,N/A,N/A
Specialist - Business Development,PT Acommerce Solusi Lestari,/id/job/79403951?type=standard&ref=search-standalone&origin=cardTitle#sol=5c8adce5f138111dc00e16eb1092c237ed1ef5c7,N/A,N/A,https://id.jobstreet.com/id/job/79403951?type=standard&ref=search-standalone&origin=cardTitle#sol=5c8adce5f138111dc00e16eb1092c237ed1ef5c7,,N/A,N/A
Senior Integrated Marketing Specialist,PT Infobip Technology Indonesia,/id/job/76423948?type=standard&ref=search-standalone&origin=cardTitle#sol=ecef466a0e94df8f9735ca494d3a6d7fb2e19bc4,N/A,N/A,https://id.jobstreet.com/id/job/76423948?type=standard&ref=search-standalone&origin=cardTitle#sol=ecef466a0e94df8f9735ca494d3a6d7fb2e19bc4,,N/A,N/A
"Territory Manager, ALS, Indonesia",Zoll Medical Corporation,/id/job/76465087?type=standard&ref=search-standalone&origin=cardTitle#sol=e5004a1a30cf2043d64f78f040289f015766b7b2,N/A,N/A,https://id.jobstreet.com/id/job/76465087?type=standard&ref=search-standalone&origin=cardTitle#sol=e5004a1a30cf2043d64f78f040289f015766b7b2,,N/A,N/A
Service Supervisor B Shift (7pm-EOS),PT Magna Finance Tbk,/id/job/80041500?type=standard&ref=search-standalone&origin=cardTitle#sol=970c117eb7d96864d8c860490ecc5f9b2221cd60,N/A,N/A,https://id.jobstreet.com/id/job/80041500?type=standard&ref=search-standalone&origin=cardTitle#sol=970c117eb7d96864d8c860490ecc5f9b2221cd60,,N/A,N/A
Maintenance Supervisor,PT Magna Finance Tbk,/id/job/79662862?type=standard&ref=search-standalone&origin=cardTitle#sol=0ed5e5fe7f4266d404567af7eb66fcec1053054e,N/A,N/A,https://id.jobstreet.com/id/job/79662862?type=standard&ref=search-standalone&origin=cardTitle#sol=0ed5e5fe7f4266d404567af7eb66fcec1053054e,,N/A,N/A
Consultant - Platform,PT Tech Data Advanced Solutions Indonesia,/id/job/77469548?type=standard&ref=search-standalone&origin=cardTitle#sol=46a6634c8d57a14c36d126c8577469f1880bec49,N/A,N/A,https://id.jobstreet.com/id/job/77469548?type=standard&ref=search-standalone&origin=cardTitle#sol=46a6634c8d57a14c36d126c8577469f1880bec49,,N/A,N/A
